source,key/pattern,es,en,fr,de,pt,ca,lengths
i18n,ctaWhatsappMsg,"Hola, estoy considerando una LLC y me gustaría saber si tiene sentido en mi situación. ¿Podemos hablar?","Hi, I'm considering an LLC and would like to understand if it makes sense for my situation. Can we talk?","Bonjour, j'envisage une LLC et j'aimerais comprendre si cela a du sens pour ma situation. Pouvons-nous en parler ?","Hallo, ich erwäge eine LLC und würde gerne verstehen, ob das für meine Situation sinnvoll ist. Können wir darüber sprechen?","Olá, estou a considerar uma LLC e gostaria de perceber se faz sentido para a minha situação. Podemos conversar?","Hola, estic considerant una LLC i m'agradaria entendre si té sentit per a la meva situació. Podem parlar?",103/104/114/123/111/105
i18n,waDefaultMsg,Hola. He visto la web de Exentax y me gustaría entender si una estructura internacional tiene sentido en mi caso.,Hi. I've seen the Exentax website and I'd like to understand if an international structure makes sense for my case.,Bonjour. J'ai vu le site d'Exentax et j'aimerais savoir si une structure internationale a du sens pour mon cas.,"Hallo. Ich habe die Exentax-Website gesehen und möchte verstehen, ob eine internationale Struktur für meinen Fall sinnvoll ist.",Olá. Vi o site da Exentax e gostaria de entender se uma estrutura internacional faz sentido para o meu caso.,Hola. He vist el web d'Exentax i m'agradaria entendre si una estructura internacional té sentit per al meu cas.,113/115/111/127/108/111
i18n,waText,"Hola Exentax, vengo de la home y quiero hablar con un asesor sobre mi caso.","Hi Exentax, I come from the home page and want to talk to an advisor about my case.","Bonjour Exentax, je viens de la page d'accueil et je veux parler à un conseiller sur mon cas.","Hallo Exentax, ich komme von der Startseite und möchte mit einem Berater über meinen Fall sprechen.","Olá Exentax, venho da página inicial e quero falar com um consultor sobre o meu caso.","Hola Exentax, vinc de la pàgina d'inici i vull parlar amb un assessor sobre el meu cas.",75/83/93/99/85/87
i18n,waTextRenewal,Hola. Me interesa la renovación anual de mi LLC en {{state}}. ¿Podemos hablar?,Hello. I'm interested in the annual renewal of my LLC in {{state}}. Can we talk?,Bonjour. Je suis intéressé par le renouvellement annuel de ma LLC dans {{state}}. Pouvons-nous parler ?,Hallo. Ich interessiere mich für die jährliche Verlängerung meiner LLC in {{state}}. Können wir sprechen?,Olá. Tenho interesse na renovação anual da minha LLC em {{state}}. Podemos conversar?,Hola. M'interessa la renovació anual de la meva LLC a {{state}}. Podem parlar?,78/80/103/105/85/78
i18n,whatsappConfirmMsg,"Hola, acabo de reservar una asesoría fiscal. ¡Quedo a la espera de la confirmación!","Hi, I just booked a consultation. Looking forward to it!","Bonjour, je viens de réserver une consultation. J'ai hâte !","Hallo, ich habe gerade eine Beratung gebucht. Ich freue mich darauf!","Olá, acabei de agendar uma consultoria. Estou ansioso!","Hola, acabo de reservar una consulta. Estic desitjant que arribi!",83/56/59/68/54/65
i18n,whatsappDefault,"Hola, facturo online y busco optimizar mi estructura fiscal de forma legal. ¿Podemos agendar una llamada para explorar opciones?","Hi, I'm exploring a US LLC for low-cost privacy and gold-standard asset protection — and a path into the Latin American market. Can we talk for a moment?","Bonjour, je cherche une LLC américaine sans paperasse, avec bouclier patrimonial et accès au marché latino de Miami. Pouvons-nous en parler ?","Hallo, ich suche eine steueroptimierte US-LLC mit Vermögensschutz und Rechtssicherheit für Investoren. Können wir kurz darüber sprechen?","Olá, busco uma LLC com blindagem patrimonial premium e ponte para o mercado hispano de Miami, sem viajar aos EUA. Podemos conversar?","Hola, busco una LLC amb cost mínim, blindatge patrimonial dels EUA i un pont català cap al mercat llatí. Podem parlar un moment?",128/153/141/136/132/128
i18n,whatsappFooter,"Hola, me gustaría hablar con alguien del equipo. Quiero entender si hay margen para reducir lo que pago de impuestos.","Hi, I'd like to talk to someone from the team about setting up a VC-ready US LLC with proper asset protection and ITIN, all without flying to the IRS office.","Bonjour, j'aimerais échanger avec l'équipe pour monter une LLC prête pour la levée de fonds et obtenir mon ITIN, sans passer par l'ambassade.","Hallo, ich möchte mit dem Team darüber sprechen, eine LLC mit Vermögensschutz nach US-Standard und ITIN zu gründen — ganz ohne Botschaftstermin.","Olá, gostaria de falar com alguém da equipa sobre montar uma LLC pronta para investidores e M&A, com ITIN tirado sem viajar aos EUA.","Hola, m'agradaria parlar amb algú de l'equip sobre muntar una LLC amb blindatge patrimonial i ITIN, sense haver de viatjar als EUA.",117/157/141/144/132/131
i18n,whatsappMessage,"Hola, he usado vuestra calculadora fiscal y el resultado es muy interesante: podría ahorrar {{savings}}/año. Facturo {{monthlyIncome}}/mes ({{yearlyIncome}}/año) como {{regime}} en {{country}}. ¿Podemos agendar una llamada para valorar mi caso?",Hi. I've used your tax calculator and the result is very interesting: I could save {{savings}}/year. I invoice {{monthlyIncome}}/month ({{yearlyIncome}}/year) as {{regime}} in {{country}}. Can we schedule a call to assess my case?,Bonjour. J'ai utilisé votre calculateur fiscal et le résultat est très intéressant : je pourrais économiser {{savings}}/an. Je facture {{monthlyIncome}}/mois ({{yearlyIncome}}/an) en tant que {{regime}} en {{country}}. Pouvons-nous planifier un appel pour évaluer mon cas ?,"Hallo. Ich habe Ihren Steuerrechner benutzt und das Ergebnis ist sehr interessant: Ich könnte {{savings}}/Jahr sparen. Ich fakturiere {{monthlyIncome}}/Monat ({{yearlyIncome}}/Jahr) als {{regime}} in {{country}}. Können wir eine Beratung vereinbaren, um meinen Fall zu bewerten?",Olá. Usei a sua calculadora fiscal e o resultado é muito interessante: poderia economizar {{savings}}/ano. Fatura {{monthlyIncome}}/mês ({{yearlyIncome}}/ano) como {{regime}} em {{country}}. Podemos agendar uma chamada para avaliar o meu caso?,Hola. He calculat que podria estalviar {{savings}}/any en impostos. Facturo {{monthlyIncome}}/mes brut ({{yearlyIncome}}/any) com a {{regime}} a {{country}}. M'agradaria parlar per veure si s'aplica al meu cas.,244/230/273/278/243/210
i18n,whatsappMsg,"Hola, me interesa optimizar mi fiscalidad. He visto lo que hacéis en Exentax y me gustaría entender si una LLC tiene sentido para mi situación. ¿Podemos hablar?","Hi, I'd like to optimize my tax setup. I saw what you do at Exentax and want to understand whether a US LLC makes sense for my case. Got a minute to talk?","Bonjour, je souhaite optimiser ma fiscalité. J'ai vu ce que vous faites chez Exentax et j'aimerais comprendre si une LLC a du sens pour mon cas. Peut-on en parler ?","Hallo, ich möchte meine Steuersituation optimieren. Ich habe gesehen, was ihr bei Exentax macht, und würde gerne verstehen, ob eine LLC für meinen Fall sinnvoll ist. Können wir sprechen?","Olá, tenho interesse em otimizar a minha situação fiscal. Vi o que fazem na Exentax e gostaria de perceber se uma LLC faz sentido para o meu caso. Podemos conversar?","Hola, m'interessa optimitzar la meva situació fiscal. He vist el que feu a Exentax i m'agradaria entendre si una LLC té sentit per al meu cas. Podem parlar?",160/154/164/186/165/156
i18n,whatsappMsg1,"Hola, he visto vuestro perfil de clientes y creo que encajo perfectamente. Me gustaría explorar opciones para optimizar mi fiscalidad. ¿Podemos agendar una llamada esta semana?","Hi, I think I fit the profile you describe. Can we have a quick call to see if there's room for improvement in my tax situation?","Bonjour, je pense correspondre au profil que vous décrivez. Pouvons-nous avoir un appel rapide pour voir s'il y a une marge d'amélioration dans ma situation fiscale ?","Hallo, ich glaube, ich passe zum Profil, das Sie beschreiben. Können wir ein kurzes Gespräch führen, um zu sehen, ob es Verbesserungsspielraum bei meiner Steuersituation gibt?","Olá, acho que me encaixo no perfil que descrevem. Podemos fazer uma chamada rápida para ver se há espaço para melhorar minha situação fiscal?","Hola, crec que encaixo amb el perfil que descriviu. Podem fer una trucada ràpida per veure si hi ha marge de millora en la meva situació fiscal?",176/128/166/175/141/144
i18n,whatsappMsg2,"Hola, soy profesional digital y busco optimizar mi estructura fiscal de forma legal. ¿Cuándo podríamos hablar para valorar mi caso concreto?","Hi, I'm writing because I think I fit your client profile. I'd like to understand if I can reduce my tax burden. When could we talk?","Bonjour, je vous écris car je pense correspondre au profil de vos clients. J'aimerais comprendre si je peux réduire ma charge fiscale. Quand pourrions-nous parler ?","Hallo, ich schreibe, weil ich glaube, zum Profil Ihrer Kunden zu passen. Ich möchte verstehen, ob ich meine Steuerlast reduzieren kann. Wann könnten wir sprechen?","Olá, escrevo porque acho que me encaixo no perfil dos seus clientes. Gostaria de entender se posso reduzir minha carga fiscal. Quando poderíamos conversar?","Hola, us escric perquè crec que encaixo amb el perfil dels vostres clients. M'agradaria entendre si puc reduir la meva càrrega fiscal. Quan podríem parlar?",140/132/164/162/155/155
i18n,whatsappNav,"Hola, acabo de ver Exentax y me interesa saber si puedo optimizar mi fiscalidad. ¿Cuándo podríamos hablar?","Hi, I just saw Exentax and I'm curious: could I be paying less taxes than I do now? When could we talk for a moment?","Bonjour, je viens de voir Exentax et je suis curieux : pourrais-je payer moins d'impôts ? Quand pourrions-nous en parler ?","Hallo, ich habe gerade Exentax gesehen und bin neugierig: Könnte ich weniger Steuern zahlen als jetzt? Wann könnten wir darüber sprechen?","Olá, acabei de ver a Exentax e estou curioso: poderia estar pagando menos impostos do que pago agora? Quando poderíamos conversar?","Hola, acabo de veure Exentax i tinc curiositat: podria pagar menys impostos del que pago ara? Quan podríem parlar un moment?",106/116/122/137/130/124
blog_cta,book_consultation,"Hola, estoy considerando una LLC y me gustaría saber si tiene sentido en mi situación. ¿Podemos hablar?","Hi, I'm considering a US LLC and I'd like to know if it makes sense for my situation. Can we talk?","Bonjour, j'envisage une LLC américaine et j'aimerais savoir si cela a du sens pour ma situation. Pouvons-nous en parler ?","Hallo, ich überlege, eine US-LLC zu gründen, und möchte wissen, ob das zu meiner Situation passt. Können wir sprechen?","Olá, estou a considerar uma LLC americana e gostaria de saber se faz sentido para a minha situação. Podemos falar?","Hola, estic considerant una LLC americana i m'agradaria saber si té sentit en la meva situació. Podem parlar?",103/98/121/118/114/109
blog_cta,llc_florida_specific,"Hola, quiero abrir una LLC en Florida. ¿Podemos hablar?","Hi, I want to open a Florida LLC. Can we talk?","Bonjour, je souhaite ouvrir une LLC en Floride. Pouvons-nous en parler ?","Hallo, ich möchte eine LLC in Florida eröffnen. Können wir sprechen?","Olá, quero abrir uma LLC na Florida. Podemos falar?","Hola, vull obrir una LLC a Florida. Podem parlar?",55/46/72/68/51/49
blog_cta,llc_state_compare,"Hola, dudo entre varios estados para mi LLC y me gustaría una comparativa para mi caso. ¿Podemos hablar?","Hi, I'm hesitating between several US states for my LLC and would love a tailored comparison. Can we talk?","Bonjour, j'hésite entre plusieurs États pour ma LLC et j'aimerais une comparaison adaptée à mon cas. Pouvons-nous en parler ?","Hallo, ich schwanke zwischen mehreren US-Bundesstaaten für meine LLC und hätte gern einen Vergleich für meinen Fall. Können wir sprechen?","Olá, estou em dúvida entre vários estados para a minha LLC e gostaria de uma comparação para o meu caso. Podemos falar?","Hola, dubto entre diversos estats per a la meva LLC i m'agradaria una comparativa per al meu cas. Podem parlar?",104/106/125/137/119/111
blog_cta,itin_help,"Hola, necesito tramitar mi ITIN. ¿Podemos hablar?","Hi, I need to apply for my ITIN. Can we talk?","Bonjour, j'ai besoin de demander mon ITIN. Pouvons-nous en parler ?","Hallo, ich muss meine ITIN beantragen. Können wir sprechen?","Olá, preciso de pedir o meu ITIN. Podemos falar?","Hola, necessito tramitar el meu ITIN. Podem parlar?",49/45/67/59/48/51
blog_cta,services_overview,"Hola, me gustaría entender cómo es vuestro proceso de constitución y mantenimiento de LLC. ¿Podemos hablar?","Hi, I'd like to understand how your LLC formation and maintenance process works. Can we talk?","Bonjour, j'aimerais comprendre votre processus de création et de maintenance de LLC. Pouvons-nous en parler ?","Hallo, ich möchte verstehen, wie Ihr LLC-Gründungs- und Betriebsprozess funktioniert. Können wir sprechen?","Olá, gostaria de perceber como é o vosso processo de constituição e manutenção de LLC. Podemos falar?","Hola, m'agradaria entendre com és el vostre procés de constitució i manteniment de LLC. Podem parlar?",107/93/109/106/101/101
blog_cta,compliance_checkup,"Hola, quiero revisar el compliance (BOI, agente registrado, obligaciones federales) de mi LLC. ¿Podemos hablar?","Hi, I want to review my LLC compliance (BOI, registered agent, federal obligations). Can we talk?","Bonjour, je souhaite faire le point sur la conformité (BOI, agent enregistré, obligations fédérales) de ma LLC. Pouvons-nous en parler ?","Hallo, ich möchte die Compliance meiner LLC (BOI, Registered Agent, Bundespflichten) überprüfen. Können wir sprechen?","Olá, quero rever a compliance (BOI, agente registado, obrigações federais) da minha LLC. Podemos falar?","Hola, vull revisar el compliance (BOI, agent registrat, obligacions federals) de la meva LLC. Podem parlar?",111/97/136/117/103/107
